Number Width Open Center Close
9 3.57 14.63 16.415 18.2
10 4.57 18.63 20.915 23.2
11 5.57 23.63 26.415 29.2
12 7.57 29.63 33.415 37.2
13 9.57 37.63 42.415 47.2
14 12.57 47.63 53.915 60.2
15 15.57 60.63 68.415 76.2
16 19.57 76.63 86.415 96.2
17 24.57 96.63 108.915 121.2
18 30.57 121.63 136.915 152.2
19 39.57 152.63 172.415 192.2
20 50.57 192.63 217.915 243.2
21 62.57 243.63 274.915 306.2
22 80.57 306.63 346.915 387.2
23 100.57 387.63 437.915 488.2
24 126.57 488.63 551.915 615.2
25 160.57 615.63 695.915 776.2
26 201.57 776.63 877.415 978.2
